Country,Year,Production,Exports,Domestic_consumption,Gross_opening_stocks,Imports,Re_exports,Price_retail,Consumption,Coffee_type,Price_grower,Country_code,Latitude,Longitude,Exports (tonnes),Domestic Consumption (tonnes),Production (tonnes),Price to Grower ($)
Thailand,2008,674.5626,175.0425515,600.0,11.0,,,,,Brazilan Naturals,,TH,15.870032,100.992541,10502.55309,36000.0,40473.756,
Thailand,2008,674.5626,175.0425515,600.0,11.0,,,,,Robustas,83.75,TH,15.870032,100.992541,10502.55309,36000.0,40473.756,0.8375
Togo,2008,137.7531,120.6589,2.0,9.0,,,,,Robustas,76.9358,TG,8.619543,0.824782,7239.534000000001,120.0,8265.186,0.769358
Trinidad & Tobago,2008,11.4194,1.2597838,11.0,0.0,,,,,Robustas,,,,,75.58702799999999,660.0,685.164,
Uganda,2008,3335.167,3310.65,185.0,379.554,,,,,Other Milds,73.3181,UG,1.373333,32.290275,198639.0,11100.0,200110.02,0.733181
Uganda,2008,3335.167,3310.65,185.0,379.554,,,,,Robustas,71.0945,UG,1.373333,32.290275,198639.0,11100.0,200110.02,0.7109449999999999
Venezuela,2008,932.4219,125.4862776,1649.26,7.0,,,,,Other Milds,,VE,6.42375,-66.58973,7529.176656,98955.6,55945.314000000006,
Viet Nam,2008,18438.1201,16101.3720357,1021.0,526.0,,,,,Brazilan Naturals,,,,,966082.322142,61260.0,1106287.206,
Viet Nam,2008,18438.1201,16101.3720357,1021.0,526.0,,,,,Robustas,89.1498,,,,966082.322142,61260.0,1106287.206,0.891498
Angola,2009,13.42,6.925,30.0,140.0,,,,,Brazilan Naturals,,AO,-11.202692,17.873887,415.5,1800.0,805.2,
Angola,2009,13.42,6.925,30.0,140.0,,,,,Robustas,40.1402,AO,-11.202692,17.873887,415.5,1800.0,805.2,0.401402
Bolivia (Plurinational State of),2009,128.4751,82.6087731,46.0,0.0,,,,,Other Milds,,,,,4956.526386,2760.0,7708.505999999999,
Brazil,2009,43976.812,30377.9816361,18390.0,15766.0,,,,,Brazilan Naturals,100.7993,BR,-14.235004,-51.92528,1822678.8981660001,1103400.0,2638608.7199999997,1.007993
